epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,102.115,0.94571,1.84938,1.1437,0.7603,0.84469,0.85708,0.64171,1.01957,1.8475,1.13548,0.0005941,0.0005941,0.0005941
43,103.987,0.96528,1.89847,1.07693,0.68369,0.88725,0.82917,0.61567,0.99811,1.57599,1.0962,0.0005842,0.0005842,0.0005842
44,105.805,0.905,1.83587,1.03788,0.58129,0.96327,0.87711,0.6947,0.94358,1.47921,1.05005,0.0005743,0.0005743,0.0005743
45,107.435,0.95851,1.80184,1.07253,0.52171,0.96444,0.82917,0.67702,0.83835,1.41162,1.01618,0.0005644,0.0005644,0.0005644
46,109.141,0.81746,1.70837,1.01319,0.5422,0.891,0.78517,0.66339,0.7057,1.58082,0.98545,0.0005545,0.0005545,0.0005545
47,110.791,0.95765,1.88687,1.09994,0.61763,0.77778,0.81111,0.65668,0.75412,1.6485,0.99966,0.0005446,0.0005446,0.0005446
48,112.508,0.94052,1.98372,1.06117,0.69309,0.66667,0.84833,0.6486,0.88109,1.82149,1.14017,0.0005347,0.0005347,0.0005347
49,114.937,0.88149,1.91904,1.0087,0.6863,0.69542,0.896,0.61123,1.01295,1.7384,1.27251,0.0005248,0.0005248,0.0005248
50,117.681,0.87088,1.82113,1.05856,0.77055,0.78069,0.9235,0.68865,0.92724,1.51316,1.15134,0.0005149,0.0005149,0.0005149
51,120.436,0.91408,1.94482,1.12824,0.75051,0.86285,0.94,0.71727,0.88705,1.40323,1.10207,0.000505,0.000505,0.000505
52,122.138,0.98618,1.92256,1.11459,0.62276,0.88137,0.896,0.73358,0.81607,1.32831,1.04269,0.0004951,0.0004951,0.0004951
53,123.864,0.80961,1.53718,1.01074,0.79875,0.80894,0.94,0.76505,0.77502,1.31107,1.01448,0.0004852,0.0004852,0.0004852
54,125.505,0.87512,1.78739,1.06632,0.79991,0.81979,0.94,0.7598,0.79654,1.33518,0.98326,0.0004753,0.0004753,0.0004753
55,127.193,0.78978,1.51638,1.04842,0.78759,0.76811,0.907,0.72399,0.7824,1.37926,0.98208,0.0004654,0.0004654,0.0004654
56,128.902,0.81234,1.53628,1.02178,0.80257,0.76983,0.907,0.71177,0.7881,1.34952,1.00359,0.0004555,0.0004555,0.0004555
57,130.621,0.91701,1.691,1.05948,0.59274,1,0.86233,0.69475,0.81984,1.31958,1.04602,0.0004456,0.0004456,0.0004456
58,133.161,0.81445,1.63648,1.01724,0.61013,1,0.81833,0.66396,0.81392,1.23795,1.05466,0.0004357,0.0004357,0.0004357
59,135.75,0.89091,1.67336,1.11695,0.62708,1,0.896,0.74379,0.80755,1.18021,1.05839,0.0004258,0.0004258,0.0004258
60,138.606,0.78843,1.52628,0.99352,0.65512,1,0.94,0.74772,0.85319,1.08584,1.06273,0.0004159,0.0004159,0.0004159
61,140.518,0.84144,1.59339,1.06557,0.66152,1,0.94,0.73694,0.8691,1.11431,1.06262,0.000406,0.000406,0.000406
62,142.205,0.79214,1.47827,1.0145,0.67252,1,0.94,0.76928,0.76726,1.11897,1.03581,0.0003961,0.0003961,0.0003961
63,144.034,0.82548,1.47567,0.99582,0.67714,1,0.91208,0.76513,0.72846,1.17925,1.03108,0.0003862,0.0003862,0.0003862
64,145.719,0.87546,1.62369,1.05713,0.67307,1,0.88458,0.74094,0.78762,1.18986,1.06411,0.0003763,0.0003763,0.0003763
65,147.405,0.816,1.39118,1.01625,0.67766,1,0.88458,0.74188,0.77021,1.23229,1.04971,0.0003664,0.0003664,0.0003664
66,150.587,0.81075,1.49296,0.99753,0.64323,1,0.86233,0.71414,0.753,1.25252,1.04318,0.0003565,0.0003565,0.0003565
67,153.074,0.76201,1.43316,0.96994,0.69066,0.82341,0.885,0.73229,0.75219,1.27832,1.04499,0.0003466,0.0003466,0.0003466
68,156.067,0.76193,1.46171,0.98357,0.79758,0.66667,0.8575,0.7457,0.75162,1.27692,1.05081,0.0003367,0.0003367,0.0003367
69,157.931,0.74816,1.37395,0.96311,0.58378,1,0.8575,0.7494,0.72335,1.21312,1.0478,0.0003268,0.0003268,0.0003268
70,159.659,0.80198,1.48962,1.02442,0.67888,0.76247,0.80167,0.6992,0.7073,1.24617,1.04033,0.0003169,0.0003169,0.0003169
71,161.383,0.75524,1.37929,0.97893,0.56397,1,0.80167,0.69921,0.70339,1.25382,1.03697,0.000307,0.000307,0.000307
72,163.067,0.81345,1.55437,1.02082,0.57918,1,0.80167,0.7102,0.6879,1.27276,1.03822,0.0002971,0.0002971,0.0002971
73,164.731,0.74555,1.40256,0.99408,0.56743,1,0.80167,0.68992,0.66048,1.1564,1.03541,0.0002872,0.0002872,0.0002872
74,166.467,0.76753,1.38439,0.99219,0.77536,0.76273,0.885,0.74802,0.67176,1.10632,1.0422,0.0002773,0.0002773,0.0002773
75,168.871,0.81637,1.51502,1.04844,0.62739,0.8803,0.8795,0.72323,0.6891,1.10755,1.04147,0.0002674,0.0002674,0.0002674
76,171.718,0.72394,1.38144,1.02204,0.58763,0.97208,0.852,0.70545,0.7107,1.09707,1.04468,0.0002575,0.0002575,0.0002575
77,174.482,0.66934,1.30827,0.93969,0.58439,0.97819,0.852,0.71109,0.71731,1.10207,1.05462,0.0002476,0.0002476,0.0002476
78,176.479,0.78173,1.37762,0.99824,0.58493,0.98951,0.852,0.69271,0.70795,1.08269,1.06047,0.0002377,0.0002377,0.0002377
79,178.156,0.68761,1.23075,0.95481,0.63058,0.88889,0.885,0.72131,0.67789,1.0293,1.06003,0.0002278,0.0002278,0.0002278
80,179.791,0.763,1.37772,1.01717,0.79594,0.74958,0.9125,0.7433,0.64876,1.04925,1.03679,0.0002179,0.0002179,0.0002179
81,181.48,0.67022,1.29576,0.97107,0.76797,0.87,0.951,0.78735,0.65189,1.04682,1.04303,0.000208,0.000208,0.000208
82,183.243,0.72939,1.21275,0.96533,0.79492,0.84811,0.951,0.79063,0.65108,1.05375,1.03866,0.0001981,0.0001981,0.0001981
83,185.105,0.65289,1.20885,0.97259,0.83051,0.95041,0.9675,0.8095,0.65111,1.08907,1.03478,0.0001882,0.0001882,0.0001882
84,187.52,0.70497,1.31225,0.97753,0.82975,0.9564,0.9675,0.8129,0.67888,1.09095,1.04201,0.0001783,0.0001783,0.0001783
85,190.208,0.67998,1.17366,0.9322,0.82897,0.95578,0.9675,0.8111,0.69367,1.12084,1.03545,0.0001684,0.0001684,0.0001684
86,192.762,0.65876,1.09401,0.95795,0.92677,0.88755,0.995,0.84771,0.6836,1.07883,1.01434,0.0001585,0.0001585,0.0001585
87,194.578,0.73908,1.32369,1.01124,0.89796,0.91369,0.995,0.84046,0.67712,0.99939,0.99626,0.0001486,0.0001486,0.0001486
88,196.316,0.66919,1.20924,0.97363,0.86426,1,0.995,0.83126,0.67338,0.936,0.9961,0.0001387,0.0001387,0.0001387
89,197.919,0.68551,1.2453,0.98998,0.84898,1,0.995,0.81108,0.68965,0.91148,0.99649,0.0001288,0.0001288,0.0001288
90,199.572,0.79939,1.30947,1.01567,0.85557,1,0.995,0.80009,0.69739,0.87819,0.99866,0.0001189,0.0001189,0.0001189
